
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
849.3760375976562,32,0,2.0158731937408447,842,0,0,0,0,1364584140709,0,0,842,0,72,0,0,0,0
854.4560546875,32,0,2.034034013748169,847,0,0,0,0,1364584142699,0,0,847,0,72,0,0,0,0
859.5360107421875,32,0,3.0663983821868896,852,0,0,0,0,1364584144693,0,0,852,0,73,0,0,0,0
864.6160278320312,32,0,2.9911680221557617,857,0,0,0,0,1364584146715,0,0,857,0,73,0,0,0,0
868.6800537109375,32,0,2.034034013748169,861,0,0,0,0,1364584148692,0,0,861,0,74,0,0,0,0
873.760009765625,32,0,2.034034013748169,866,0,0,0,0,1364584150689,0,0,866,0,74,0,0,0,0
878.8400268554688,32,0,3.051051139831543,871,0,0,0,0,1364584152686,0,0,871,0,74,0,0,0,0
883.9200439453125,32,0,2.9911680221557617,876,0,0,0,0,1364584154703,0,0,876,0,75,0,0,0,0
887.9840087890625,32,0,2.034034013748169,880,0,0,0,0,1364584156680,0,0,880,0,75,0,0,0,0
893.0640258789062,32,0,2.0320000648498535,885,0,0,0,0,1364584158677,0,0,885,0,76,0,0,0,0
898.14404296875,32,0,2.0320000648498535,890,0,0,0,0,1364584160674,0,0,890,0,76,0,0,0,0
903.2239990234375,32,0,3.0480000972747803,895,0,0,0,0,1364584162672,0,0,895,0,76,0,0,0,0
908.3040161132812,32,0,2.9911680221557617,900,0,0,0,0,1364584164688,0,0,900,0,77,0,0,0,0
912.3680419921875,32,0,2.02390456199646,904,0,0,0,0,1364584166670,0,0,904,0,77,0,0,0,0
917.4480590820312,32,0,2.075587511062622,909,0,0,0,0,1364584168662,0,0,909,0,78,0,0,0,0
922.5280151367188,32,0,3.0480000972747803,914,0,0,0,0,1364584170659,0,0,914,0,78,0,0,0,0
927.6080322265625,32,0,2.9911680221557617,919,0,0,0,0,1364584172676,0,0,919,0,78,0,0,0,0
931.6720581054688,32,0,2.036072254180908,923,0,0,0,0,1364584174652,0,0,923,0,79,0,0,0,0
936.7520141601562,32,0,2.034034013748169,928,0,0,0,0,1364584176650,0,0,928,0,79,0,0,0,0
941.83203125,32,0,2.034034013748169,933,0,0,0,0,1364584178647,0,0,933,0,80,0,0,0,0
